FIGHTER,WEIGHTCLASS
Enrique Marin,Welterweight
Vernon Ramos Ho,Welterweight
Steve Kennedy,Welterweight
Gasan Umalatov,Welterweight
Cathal Pendred,Welterweight
Roger Zapata,Welterweight
Pawel Pawlak,Welterweight
Andrew Craig,Welterweight
Igor Araujo,Welterweight
Cezar Ferreira,Welterweight
Mike Swick,Welterweight
Joe Merritt,Welterweight
Leandro Silva,Welterweight
Lewis Gonzalez,Welterweight
Steve Montgomery,Welterweight
Tony Sims,Welterweight
Brian Ebersole,Welterweight
KJ Noons,Welterweight
Luiz Dutra,Welterweight
Wendell Oliveira Marques,Welterweight
Vik Grujic,Welterweight
Chris Clements,Welterweight
Joe Riggs,Welterweight
Mickael Lebout,Welterweight
Seth Baczynski,Welterweight
Josh Koscheck,Welterweight
William Macario,Welterweight
Mats Nilsson,Welterweight
Mike Rhodes,Welterweight
Chris Heatherly,Welterweight
Jorge de Oliveira,Welterweight
Wagner Silva,Welterweight
Takenori Sato,Welterweight
Amir Sadollah,Welterweight
Paulo Thiago,Welterweight
Anying Wang,Welterweight
Danny Mitchell,Welterweight
Sai Wang,Welterweight
Hernani Perpetuo,Welterweight
Leonardo Mafra,Welterweight
Ildemar Alcantara,Welterweight
Chris Indich,Welterweight
Rodrigo de Lima,Welterweight
Robert Whittaker,Welterweight
Daniel Sarafian,Welterweight
Bobby Voelker,Welterweight
Lance Benoist,Welterweight
David Michaud,Welterweight
Anthony Lapsley,Welterweight
Yan Cabral,Welterweight
Olivier Aubin-Mercier,Welterweight
Sam Stout,Welterweight
Thiago Perpetuo,Welterweight
Jake Shields,Welterweight
Albert Cheng,Welterweight
John Hathaway,Welterweight
Zhang Lipeng,Welterweight
TJ Waldburger,Welterweight
Ben Wall,Welterweight
Georges St-Pierre,Welterweight
Jason High,Welterweight
Nate Marquardt,Welterweight
Adlan Amagov,Welterweight
Rousimar Palhares,Welterweight
David Mitchell,Welterweight
Elias Silverio,Welterweight
Joao Zeferino,Welterweight
Ivan Jorge,Welterweight
Keith Wisniewski,Welterweight
Yuri Villefort,Welterweight
Pascal Krauss,Welterweight
Martin Kampmann,Welterweight
James Head,Welterweight
Justin Edwards,Welterweight
Brian Melancon,Welterweight
Ben Alloway,Welterweight
Bristol Marunde,Welterweight
Sean Pierson,Welterweight
Leonardo Santos,Welterweight
Colton Smith,Welterweight
Nah-Shon Burrell,Welterweight
Chris Spang,Welterweight
Besam Yousef,Welterweight
Papy Abedi,Welterweight
Dan Miller,Welterweight
Nick Diaz,Welterweight
Quinn Mulhern,Welterweight
Marcelo Guimaraes,Welterweight
Josh Neer,Welterweight
Jon Manley,Welterweight
Brock Jardine,Welterweight
Che Mills,Welterweight
Matthew Riddle,Welterweight
Jorge Santiago,Welterweight
Jon Fitch,Welterweight
Jay Hieron,Welterweight
Mike Stumpf,Welterweight
Simeon Thoresen,Welterweight
Mike Ricci,Welterweight
Nick Catone,Welterweight
Manuel Rodriguez,Welterweight
BJ Penn,Welterweight
